,company_name,license,items,home,businessPerson,epsProductAddress,businessLicenseNumber,legalPerson,qfManagerName,qualityPerson,rcManagerDepartName,rcManagerUser,xkDate,xkDateStr,xkName
27,美创化妆品研究开发（上海）有限公司,沪妆20160113,一般液态单元（护发清洁类、护肤水类#、啫喱类#）；膏霜乳液单元（护肤清洁类#、护发类）；蜡基单元（蜡基类）***注：#表示具备眼部用护肤类、婴儿和儿童用护肤类化妆品生产条件,上海市闵行区紫星路399号ABCDE区,幸福惠,上海市闵行区紫星路399号ABCDE区,913100006643972151,八木伸夫,上海市药品监督管理局,陈惠燕,上海市闵行区市场监督管理局,朱璟刚、汤敏明,2026-11-29,2021-12-28,赵燕君
28,贵州普济生物技术有限公司,贵妆20160002,一般液态单元（护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,贵州省贵阳市贵阳国家高新技术产业开发区新天工业园1号楼二层,何伟成,贵州省贵阳市贵阳国家高新技术产业开发区新天工业园1号楼二层,915201157143333171,何伟成,贵州省药品监督管理局,马昕,贵阳市市场监督管理局,周亚娴、张元蓉、王定军、李韬,2026-12-28,2021-12-28,王训伟
29,广西法莱澳生物科技有限公司,桂妆20180004,一般液态单元（护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,玉林市玉州区城西工业园,陆畅明,玉林市玉州区城西工业园,91450900MA5LCC6A3G,陆畅明,广西壮族自治区药品监督管理局,周松,广西壮族自治区药品监督管理局,欧光庆、张兆贵、刘晓丹,2023-06-03,2021-12-28,姚琳
30,南宁名露医疗保健品有限公司,桂妆20160037,一般液态单元（护肤水类）,南宁市沿海开发区工业园66-67号,韦瑞遵,南宁市沿海开发区工业园66-67号,914501007086050992,何乔,广西壮族自治区药品监督管理局,何小兰,广西壮族自治区药品监督管理局,覃崇举、韦伟,2026-12-12,2021-12-28,姚琳
31,广西和桂集团有限公司,桂妆20160035,一般液态单元(护发清洁类);一般液态单元(护肤水类);膏霜乳液单元(护肤清洁类);膏霜乳液单元(护发类);,南宁市江南区国凯大道东16号车间,黄伟文,南宁市江南区国凯大道东16号车间,91450000682128529A,黄伟文,广西壮族自治区药品监督管理局,杨天云,广西壮族自治区药品监督管理局,覃崇举、韦伟,2026-12-27,2021-12-28,李雄科
32,桂林杏润化妆品有限公司,桂妆20160028,一般液态单元（护肤水类）,桂林市七星区朝阳乡乌山村26号,莫函佳,桂林市七星区朝阳乡乌山村26号,91450300MA5K9YEG6N,莫函佳,广西壮族自治区药品监督管理局,李旺明,广西壮族自治区药品监督管理局,费新建、尹强,2026-12-27,2021-12-28,李雄科
33,四川省成都道源化妆品有限责任公司,川妆20160037,一般液态单元（护发清洁类）,四川省成都市大邑县晋原镇西桥西,魏勤忠,四川省大邑县青霞镇洞口街163号,91510129621833670Q,魏勤忠,四川省食品药品监督管理局,魏静,大邑县市场和质量监督管理局,高朝阳；牛铁妮,2026-12-28,2021-12-28,赵捷
34,汕头市协睿精细化工有限公司,粤妆20200176,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；粉单元（散粉类、块状粉类、浴盐类）；蜡基单元（蜡基类）,汕头市潮阳区和平镇塘围沟上洋,马兴明,汕头市潮阳区和平镇塘围沟上洋,91440513MA54LUJW9W,马兴明,广东省药品监督管理局,马学营,汕头市潮阳区市场监督管理局,日常监管机构指定,2026-12-26,2021-12-27,苏盛锋
35,深圳市璐琥实业发展有限公司,粤妆20200139,一般液态单元（护发清洁类、护肤水类）；膏霜乳液单元（护肤清洁类）,深圳市龙岗区龙城街道盛平社区盛新路 17 号厂房 301,殷俊德,深圳市龙岗区龙城街道盛平社区盛新路 17 号厂房 301,91440300MA5DQCMR3W,刘兴彬,广东省药品监督管理局,孙谦,/,/,2025-08-02,2021-12-27,苏盛锋
36,广州市凯歌化妆品有限公司,粤妆20170355,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区南村六社竹脚步D栋首层,田艳,广州市白云区南村六社竹脚步D栋首层,91440101MA59FQYL5U,周成芝,广东省药品监督管理局,唐际文,白云区局太和食品药品监督管理所,日常监管机构指定,2026-12-26,2021-12-27,苏盛锋
37,深圳市盛凯元科技有限公司,粤妆20161524,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,深圳市龙岗区布吉街道细靓工业区自编第8栋厂房,钟凯,深圳市龙岗区布吉街道水径社区细靓工业区8栋2、3楼，2栋1楼南、5楼,914403007787526761,钟凯,广东省药品监督管理局,隗彦延,/,/,2026-12-26,2021-12-27,苏盛锋
38,南京博士化妆品有限公司,苏妆20160237,一般液态单元（护肤水类）,南京市溧水经济开发区,郭晓培,南京市溧水经济开发区,9132011767900893XX,郭晓培,江苏省药品监督管理局,徐立梅,江苏省药品监督管理局（南京检查分局）,宁翔德、史祖如,2026-12-26,2021-12-27,陈元虎
39,兴化市华丽日用品厂,苏妆20160208,膏霜乳液单元（护肤清洁类）,兴化市兴东路西毛开发区,郭云,江苏省兴化市兴东路西毛开发区,92321281MA1N2UXJ8J,郭云,江苏省药品监督管理局,郭晓东,兴化市市场监督管理局,孙巍、徐徐,2026-12-27,2021-12-27,唐龙础
40,泉州市倍斯豪日用品有限公司,闽妆20170003,一般液态单元（啫喱类#、护发清洁类、护肤水类#）；膏霜乳液单元（护发类、护肤清洁类#）***注：#表示具备眼部用护肤类、婴儿和儿童用护肤类化妆品生产条件,惠安县城南中心工业区,苏国勇,福建省泉州市惠安县城南中心工业区,91350521784501427Y,苏国勇,福建省药品监督管理局,杨清浑,福建省药品监督管理局厦门药品稽查办公室,***,2027-01-03,2021-12-27,郑纯
41,丹东市黄海化妆品厂,辽妆20160027,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,辽宁省丹东市振兴区汤池工业园区21号,李晓明,丹东市振兴区汤池工业园区,91210681120410776H,刘金梅,辽宁省食品药品监督管理局,黄庆勇,丹东市食品药品监督管理局,郝亚平、蔺洁、乔菁菁,2026-12-27,2021-12-27,潘勇
42,丹东康齿灵牙膏有限公司,辽妆20160025,牙膏单元（牙膏类）,辽宁省丹东市振兴区中和路148号,王宏伟,辽宁省丹东市振兴区中和路148号,91210600701592467D,巩超,辽宁省食品药品监督管理局,曹宁,丹东市食品药品监督管理局,郝亚平、蔺洁、乔菁菁,2026-12-27,2021-12-27,潘勇
43,广州市碧欧化妆品有限公司,粤妆20210406,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区均禾街罗岗木棉塘东路2号五楼,黄大财,广州市白云区均禾街罗岗木棉塘东路2号五楼,91440111693594955J,黄大财,广东省药品监督管理局,黄火生,广州市白云区市场监督管理局,日常监管机构指定,2026-12-23,2021-12-24,苏盛锋
44,广州市花都区明润日化用品厂,粤妆20210405,气雾剂及有机溶剂单元（有机溶剂类）,广州市花都区新雅街迎春路马来西亚工业园,郭朝礼,广州市花都区新雅街迎春路马来西亚工业园一栋一、二层,91440114679740688U,郑少厚,广东省药品监督管理局,赵汝康,广州市花都区市场监督管理局,日常监管机构指定,2026-12-23,2021-12-24,苏盛锋
45,广东尚品汇化妆品股份有限公司,粤妆20210300,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；蜡基单元（蜡基类）,广州市花都区狮岭镇文曲路38号10号楼,胡云山,广州市花都区狮岭镇文曲路38号10号楼,91440101MA9XTR021B,胡云山,广东省药品监督管理局,李海兰,广州市花都区狮岭市场监管所,日常监管机构指定,2026-09-28,2021-12-24,苏盛锋
46,广东乙丙生物科技有限公司,粤妆20210249,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；粉单元（散粉类、块状粉类）；蜡基单元（蜡基类）,广州市花都区大布路9号2栋201、202、203、204、301、302、303、304,韩鹏,广州市花都区大布路9号2栋201、202、203、204、301、302、303、304,91440101MA9XT6C128,宋名良,广东省药品监督管理局,何明振,/,日常监管机构指定,2026-09-01,2021-12-24,苏盛锋
47,广州甄俪生物科技有限公司,粤妆20210043,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市增城区新塘镇塘美村大塱（厂房A1）四楼,吴万国,广州市增城区新塘镇塘美村大塱（厂房A1）四楼,91440101MA5AP73A1H,吴万国,广东省药品监督管理局,詹汉民,/,日常监管机构指定,2026-02-04,2021-12-24,苏盛锋
48,科玛医药科技（广州）有限公司,粤妆20200212,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类、染烫发类）,广州市白云区均禾街清湖大塘大道12号之二101,郭秋莹,广州市白云区均禾街清湖大塘大道12号之二1-2楼、之三1楼,91440101MA5D7R042B,蔡卫家,广东省药品监督管理局,郭秋萍,白云区局均禾市场监管所,日常监管机构指定,2025-11-03,2021-12-24,苏盛锋
49,广州欧特丽美容生物科技有限公司,粤妆20200119,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区江高镇神山珠水一路36号1栋301房,付军良,广州市白云区江高镇神山珠水一路36号1栋二楼、三楼,91440101MA5D62T6XN,付军良,广东省药品监督管理局,邓自刊,白云区局江高市场监管所,日常监管机构指定,2025-07-15,2021-12-24,苏盛锋
50,广州植本堂生物科技有限公司,粤妆20180020,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；蜡基单元（蜡基类）,广州市白云区太和镇沙亭岗村飞来岭路A栋2楼,刘斌,广州市白云区太和镇沙亭岗村飞来岭路A栋2楼,91440101MA59PN388Y,覃芬密,广东省药品监督管理局,周明,白云区局太和市场监管所,日常监管机构指定,2023-01-10,2021-12-24,苏盛锋
51,广东旭睿美医疗科技有限公司,粤妆20170486,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区永兴和兴东街6号一、二楼,阮睿,广州市白云区永兴和兴东街6号一、二楼,91440101MA59PE2957,阮睿,广东省药品监督管理局,严东洲,白云区局太和市场监管所,日常监管机构指定,2022-08-29,2021-12-24,苏盛锋
52,广州甲美生物科技有限公司,粤妆20161580,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区均禾街石马村旺发大街自编25号,张龙光,广州市白云区均禾街石马村旺发大街自编25号,91440111761911773J,张龙光,广东省药品监督管理局,胡娟,白云区局均禾市场监管所,日常监管机构指定,2026-06-07,2021-12-24,苏盛锋
53,广州市雅琳化妆品有限公司,粤妆20161439,粉单元（散粉类、块状粉类）,广州市白云区太和镇龙归南岭岗铺7路2号工业园C栋4楼,卢小云,广州市白云区太和镇龙归南岭岗铺7路2号工业园C栋4楼,914401010803767017,卢小云,广东省药品监督管理局,韦合,白云区局太和食品药品监督管理所,日常监管机构指定,2026-09-21,2021-12-24,苏盛锋
54,广州御臣医药科技有限公司,粤妆20161433,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区白云湖街唐阁二社新基工业区1幢A区2楼201房,舒有成,广州市白云区白云湖街唐阁二社新基工业区1幢A区2楼201房,91440101MA59EKF94C,高向军,广东省药品监督管理局,许春香,白云区局白云湖食品药品监督管理所,日常监管机构指定,2026-09-26,2021-12-24,苏盛锋
55,广州市聚馨堂化妆品有限公司,粤妆20161387,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区长腰岭新龙工业路6号2栋101室,张飞,广州市白云区长腰岭新龙工业路6号2栋101室,914401116893303830,张飞,广东省药品监督管理局,徐标,白云区局钟落潭食品药品监督管理所,日常监管机构指定,2026-01-05,2021-12-24,苏盛锋
56,广州法德美化妆品有限公司广州分公司,粤妆20160865,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区江高镇神山振华北路56号,陈锐生,广州市白云区江高镇神山振华北路56号,914401117163765566,陈锐生,广东省药品监督管理局,陈锐生,白云区局江高市场监督管理所,日常监管机构指定,2026-07-13,2021-12-24,苏盛锋
57,广州市诗泊实业有限公司,粤妆20160738,粉单元（散粉类、浴盐类）,广州市番禺区石壁街屏山二村工业区自编一路5号501,王孟文,广州市番禺区石壁街屏山二村工业区自编一路5号501,91440113347458002M,朱湘君,广东省药品监督管理局,刘凤娟,/,日常监管机构指定,2026-01-26,2021-12-24,苏盛锋
58,广州科玛化妆品制造有限公司,粤妆20160344,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市花都区红棉大道北48号7栋101厂房,陈升山,广州市花都区红棉大道北48号7栋101厂房,91440101766114378U,陈升山,广东省药品监督管理局,陈鉴辉,花都区局秀全食品药品监管所,日常监管机构指定,2026-03-23,2021-12-24,苏盛锋
59,广州欧亚气雾剂与日化用品制造有限公司,粤妆20160236,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；气雾剂及有机溶剂单元（气雾剂类、有机溶剂类）,广州市从化鳌头镇聚丰北路628号,杨小业,广州市从化鳌头镇聚丰北路628号,914401017860812270,杨小业,广东省药品监督管理局,张伟明,从化区局鳌头食品药品监管所,日常监管机构指定,2026-03-17,2021-12-24,苏盛锋
60,广州博科化妆品有限公司,粤妆20160198,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区嘉禾街新科科甲北街30号,周娟,广州市白云区嘉禾街新科科甲北街30号,91440111088222360E,周广练,广东省药品监督管理局,涂世平,白云区局嘉禾市场监管所,日常监管机构指定,2022-12-28,2021-12-24,苏盛锋
61,广州市科能化妆品科研有限公司,粤妆20160019,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市花都区花东镇先科二路23号,陈建歆,广州市花都区花东镇先科二路23号,914401146832516929,张楚标,广东省药品监督管理局,夏爱珍,花都区局花东食品药品监管所,日常监管机构指定,2022-10-09,2021-12-24,苏盛锋
62,扬州市佳丽日化厂,苏妆20160215,一般液态单元（护发清洁类）；膏霜乳液单元（护发类、护肤清洁类）,扬州市杭集镇通州路4号,方丽,扬州市杭集镇通州路4号,91321016MA1MQKCH0T,徐明芹,江苏省药品监督管理局,王春艳,江苏省药品监督管理局（扬州检查分局）,江苏省药品监督管理局（扬州检查分局）负责日常监管的人员,2026-12-23,2021-12-24,胡春风
63,利施（上海）化妆品有限公司,沪妆20170005,一般液态单元（护发清洁类、护肤水类#、啫喱类#）；膏霜乳液单元（护肤清洁类#、护发类）；蜡基单元（蜡基类）***注：#表示具备眼部用护肤类、婴儿和儿童用护肤类化妆品生产条件,上海市奉贤区西韩路228弄4幢、5幢,王勇,上海市奉贤区西韩路228弄4幢、5幢,91310120MA1HK3095N,王勇,上海市药品监督管理局,卢艳萍,上海市奉贤区市场监督管理局,谭士洁、乔磊、倪威,2027-02-27,2021-12-24,赵燕君
64,伽蓝（集团）股份有限公司,沪妆20160003,一般液态单元（护发清洁类、护肤水类#、啫喱类#）；膏霜乳液单元（护肤清洁类#、护发类）；粉单元（散粉类、块状粉类）；蜡基单元（蜡基类）***注：#表示具备眼部用护肤类、婴儿和儿童用护肤类化妆品生产条件,上海市丽丰路12号,郑春颖,上海市丽丰路12号,913100007585710341,郑春颖,上海市药品监督管理局,倪莉莉,上海市奉贤区市场监督管理局,谭士洁、乔磊、倪威,2026-06-08,2021-12-24,赵燕君
65,惠州市百年丽人化妆品有限公司,粤妆20170331,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,惠州市惠澳大道惠州工业园区金钟路19号A2栋厂房第三层,龚磊,惠州市惠澳大道惠州工业园区金钟路19号A2栋厂房第三层,914413006178905682,薛风华,广东省药品监督管理局,薛风华,///,///,2026-12-22,2021-12-23,苏盛锋
66,牡宗牡丹产业集团有限公司,豫妆20210016,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,河南省三门峡市湖滨区工业园8号,王军英,河南省三门峡市湖滨区工业园8号,91410300MA481KAK9U,王爱琴,河南省药品监督管理局,张娟红,河南省药品监督管理局第三监管分局,/,2026-12-22,2021-12-23,庆凌
67,焦作市绿洲怀药生物科技有限公司,豫妆20160036,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；粉单元（浴盐类、散粉类）；气雾剂及有机溶剂单元（气雾剂类、有机溶剂类）；蜡基单元（蜡基类）,武陟县迎宾大道260号阳光工业园,付国福,武陟县山涛路876号,91410823761675336Q,付国福,河南省药品监督管理局,杨松岭,河南省药品监督管理局第八监管分局,/,2026-12-22,2021-12-23,庆凌
